Latitude				Longitude
50.9197424				6.1182358
52.2614488				10.3749865
49.9854241				8.3180682
51.1512955				13.8067145
52.0036197				11.7236908
53.5575095				9.9676227
49.9247466				11.5993304
47.8685617				12.6211988
48.9121649				9.1831313
52.3352273				9.7717554
50.9332727				11.879591
49.9280068				9.8029223
51.4698958				6.9034879
48.1429303				11.5785962
49.6861564				8.9956758
51.8955757				12.2060288
48.3456677				10.3805271
51.3619551				6.9526653
48.528934				12.201967
51.6493049				12.3041508
49.3735516				7.0820037
48.5890072				11.7615164
47.7364434				9.2350551
52.3277313				9.7769052
48.1571718				12.8214208
51.3961365				7.4313029
48.1636774				11.5356055
51.9432537				7.1671898
49.638041				8.9799009
49.6365098				8.9767147
48.403727				10.4628403
48.1405917				11.6824418
48.7978163				9.1523584
50.0987299				8.2295159
52.5697896				13.3942046
49.4180456				8.7418856
49.8714952				9.1846728
51.0678001				13.7778167
49.1835468				11.1832262
51.0343448				13.7604399
48.3964149				9.9542964
49.4442505				8.6192695
52.4344273				9.4067196
49.9337425				10.8283935
51.3879228				6.9437787
49.7215448				8.993351
49.2910465				7.574426
48.7559433				9.7827311
52.5422827				13.2816533
47.6504983				9.4825666
49.6295464				11.25241
47.9445415				11.258104
48.1006704				11.6252055
50.6079691				10.4915015
47.8833037				7.7312157
49.3708436				8.653805
49.681485				10.8827383
49.5213801				11.8086677
52.5715768				13.1228576
49.7160826				10.9449853
51.5324834				7.6876616
48.6308744				9.4153248
51.3257533				12.4538717
48.2653646				8.2021756
47.9565329				7.823153
51.6383509				12.3304445
49.6651059				10.0626601
49.7894901				11.0107626
50.4115225				7.4655157
50.1248467				10.8201826
47.9140968				11.2883191
50.0332509				12.0105627
49.6714616				10.1428049
48.1025964				11.5956025
48.5685694				8.1619758
47.3342778				10.268529
47.4053682				10.2770336
49.4520631				8.6774553
47.9752787				9.9287905
47.7152703				8.9639405
48.1644506				9.8172252
48.213588				11.5289585
51.0010198				13.8707229
48.5361757				12.1494879
50.068333				8.2100368
51.3653534				8.4357922
49.1324222				9.2667409
47.9364184				9.7450733
49.6308693				11.3570004
49.045378				11.3526669
52.1480523				7.3393236
48.2978637				11.623836
48.3457933				12.1323863
52.2644918				10.5615453
47.6197866				7.7703226
49.976359				8.0304925
52.3696025				12.9333609
49.9851776				10.9659561
49.7752704				9.9285224
49.729401				10.9123368
48.3769632				10.8888545
49.8011034				9.9512732
53.0225525				9.8801098
49.6165366				10.747152
50.6819279				8.6845305
48.5111315				11.4988488
53.8608047				10.6904003
51.2710224				8.8753777
52.0284504				8.5227015
51.3446414				7.1930759
49.9275439				9.2218085
51.4409481				7.046531
51.4381317				7.0484875
50.9602923				7.1446856
48.2729332				11.450604
50.1439107				8.6492703
49.2292387				7.111737
49.8082253				9.9470264
51.9863668				13.0681157
51.4872077				11.961322
48.0981207				11.5804329
48.7114808				9.4611544
51.9910825				13.0812327
51.9947973				13.088774
51.9907186				13.0805247
52.0027681				13.0859167
51.475355				6.8472339
48.1538366				11.6905108
49.509915				8.1792576
52.3597322				9.253893
49.3859139				8.5221032
48.8465339				8.5880311
51.7905086				11.7452888
51.1670095				7.0855351
47.9106175				7.7103312
48.1223489				9.8612164
48.2112809				10.9657527
48.7993467				8.6303125
47.6801049				9.8186871
50.6713717				8.7890059
50.9963429				7.0359251
49.9320591				10.8306211
48.6188584				9.8385379
48.6249603				9.8194701
48.1318759				11.5437129
53.1194651				9.7861251
